Country,Scale,Base Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Canada,Millions,, , , , , , , , , , , ,42099.00 ,45816.00 ,49302.00 ,54068.00 ,59659.00 ,66809.00 ,71913.00 ,78569.00 ,86518.00 ,93237.00 ,101767.00 ,113625.00 ,133080.00 ,158306.00 ,178045.00 ,206007.00 ,227579.00 ,252044.00 ,287574.00 ,322748.00 ,368358.00 ,388181.00 ,421316.00 ,461986.00 ,500027.00 ,526630.00 ,574336.00 ,626894.00 ,671579.00 ,695501.00 ,701773.00 ,718436.00 ,747037.00 ,791972.00 ,831621.00 ,859834.00 ,906926.00 ,940548.00 ,1007927.00 ,1106071.00 ,1144543.00 ,1193694.00 ,1254747.00 ,1335731.00 ,1421590.00 ,1496604.00 ,1577661.00 ,1657041.00 ,1571334.00 ,1666048.00 ,1774063.00 ,1827201.00 ,1902247.00 ,1994898.00 ,1990441.00 ,2025535.00 ,2140641.00 ,2231168.00 ,2310712.00 ,2204905.00 ,1990761.61 
Cayman Islands,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3500.23 ,3721.88 ,3821.61 ,3568.08 ,3464.02 ,3488.38 ,3575.82 ,3671.48 ,3802.36 ,3923.46 ,4091.09 ,4305.22 ,4602.00 ,4946.28 , , 
Central African Rep.,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1060142.00 ,1148896.00 ,1281561.00 ,835453.00 ,935578.00 ,1002592.00 ,1081516.00 ,1203324.00 ,1233635.00 , , , 
Chad,Millions,, , , , , , , , , , , , , ,39725.91 ,45376.99 ,50995.66 ,57321.95 ,59764.70 ,61566.12 ,69126.06 ,82345.87 ,91222.76 ,95971.64 ,108588.93 ,124507.67 ,153469.94 ,158975.84 ,174998.69 ,191330.45 ,162668.75 ,166129.78 ,251026.28 ,283844.61 ,352321.75 ,435069.21 ,441746.04 ,419240.59 ,412379.29 ,477902.79 ,483334.79 ,497141.12 ,510381.62 ,499179.36 ,466681.32 ,741299.96 ,816756.17 ,930503.12 ,1020296.98 ,1164874.90 ,1069308.50 ,1115968.74 ,1417998.28 ,1567753.45 ,1799591.41 ,2639318.02 ,3518122.00 ,3892340.56 ,4157425.94 ,4652385.71 ,4385555.78 ,5290607.78 ,5742404.33 ,6332447.36 ,6417737.78 ,6912490.12 ,6474072.97 ,6047145.88 ,5854572.30 ,6127318.18 ,6406367.22 ,6227925.27 , 
Chile,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,32393861.80 ,35946985.00 ,37741618.70 ,38461785.40 ,42215029.90 ,45409054.80 ,48428963.20 ,52897338.90 ,60391763.20 ,68467939.80 ,81577533.50 ,90159479.20 ,93867121.30 ,96138477.30 ,110777866.90 ,121509298.50 ,129973394.00 ,137309192.00 ,147951290.00 ,158622902.90 ,168764687.90 ,179314910.10 ,189434867.40 ,195816484.60 ,200343720.60 ,240633267.30 
"China, P.R.: Hong Kong",Millions,, , , , , , , , , , , ,7455.00 ,8687.00 ,10427.00 ,11888.00 ,13953.00 ,14282.00 ,15475.00 ,16533.00 ,19437.00 ,23106.00 ,26681.00 ,32213.00 ,41327.00 ,47240.00 ,49589.00 ,63156.00 ,73284.00 ,85782.00 ,112691.00 ,143619.00 ,173578.00 ,196005.00 ,217281.00 ,261992.00 ,278128.00 ,320525.00 ,394770.00 ,466076.00 ,536558.00 ,599256.00 ,691323.00 ,807130.00 ,931010.00 ,1049610.00 ,1119006.00 ,1235301.00 ,1373083.00 ,1308074.00 ,1285946.00 ,1337501.00 ,1321142.00 ,1297341.00 ,1256669.00 ,1316949.00 ,1412125.00 ,1503351.00 ,1650756.00 ,1707487.00 ,1659245.00 ,1776332.00 ,1934430.00 ,2037059.00 ,2138305.00 ,2260005.00 ,2398280.00 ,2490598.00 ,2659611.00 ,2835429.00 ,2844843.00 ,2675314.00 ,2861620.00 
"China, P.R.: Macao",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,55112.00 ,59219.00 ,66146.00 ,85382.00 ,97416.00 ,119015.00 ,148181.00 ,168639.00 ,172363.00 ,225998.00 ,295438.00 ,345080.00 ,411738.00 ,438516.00 ,359806.00 ,360460.00 ,404966.00 ,446429.00 ,445119.00 ,194398.00 , 
China,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2719450.00 ,3567330.00 ,4863740.00 ,6133990.00 ,7181370.00 ,7971510.00 ,8519550.00 ,9056430.00 ,10028010.00 ,11086310.00 ,12171740.00 ,13742210.00 ,16184020.00 ,18731900.00 ,21943850.00 ,27009230.00 ,31924450.00 ,34851770.00 ,41211920.00 ,48794010.00 ,53857980.00 ,59296330.00 ,64356300.00 ,68885820.00 ,74639500.00 ,83203600.00 ,91928110.00 ,98651520.00 ,101356700.00 ,114366970.00 
Colombia,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,337958000.00 ,381604000.00 ,428506000.00 ,476554000.00 ,501574000.10 ,544060000.00 ,619023000.00 ,666507000.00 ,714093000.00 ,762903000.00 ,804692000.00 ,863782000.10 ,920471000.00 ,987791000.00 ,1060068000.00 ,998719000.00 ,1176694335.90 
"Comoros, Union of the",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,285627.00 ,306288.00 ,319332.00 ,336947.00 ,361596.00 ,388984.00 ,413477.00 ,425713.00 ,428346.00 ,450159.00 ,469217.00 ,495235.00 ,525167.00 ,526820.00 , 
