,Year,Country,ISO,Total Deaths,CPI,GDP(million dollars),Population,healthexp,tmax,duration
29,2003,Bangladesh,BGD,62.0,67.88889569,"3,487,397.49",134791598.0,10.27598572,29.235238095238092,34
30,2003,Czech Rep.,CZE,418.0,67.88889569,"2,823,452.00",10193998.0,640.6604004,28.9,1
31,2003,Algeria,DZA,40.0,67.88889569,"5,252,300.00",32264159.0,75.7433548,37.7,31
32,2003,United Kingdom,GBR,301.0,67.88889569,"1,259,970.00",59647577.0,2796.341064,18.1,1
33,2004,China,CHN,39.0,69.70644216,"16,184,020.00",1296075000.0,63.26198578,30.0,2
34,2004,Spain,ESP,26.0,69.70644216,"859,437.00",42921895.0,1924.445313,27.6,5
35,2004,Japan,JPN,10.0,69.70644216,"529,400,800.00",127761000.0,2875.933594,26.2,32
36,2003,"Slovenia, Rep. of",SVN,289.0,67.88889569,"25,613.28",1995733.0,1203.063477,31.7,32
38,2003,Luxembourg,LUX,170.0,67.88889569,"26,227.29",451630.0,4607.402832,28.6,1
39,2003,"Netherlands, The",NLD,965.0,67.88889569,"512,810.00",16225302.0,3244.355713,22.3,14
40,2003,Pakistan,PAK,200.0,67.88889569,...,153093371.0,14.45083237,41.0,37
41,2003,Portugal,PRT,2696.0,67.88889569,"146,067.86",10458821.0,1443.37793,26.9,1
42,2004,"North Macedonia, Republic of",MKD,15.0,69.70644216,"280,786.04",2032544.0,233.9918213,29.235238095238092,1
43,2004,Romania,ROU,27.0,69.70644216,"244,688.30",21451748.0,190.7950592,25.6,1
46,2005,India,IND,329.0,72.07141045,"34,958,200.00",1147609924.0,27.66702271,41.2,1
47,2006,Belgium,BEL,940.0,74.39638749,"325,151.50",10547958.0,3558.121338,28.6,31
48,2006,Germany,DEU,2.0,74.39638749,"2,385,080.00",82376451.0,3697.921631,26.5,9
49,2006,Spain,ESP,21.0,74.39638749,"1,003,823.00",44397319.0,2242.178223,28.1,21
50,2006,France,FRA,1388.0,74.39638749,"1,848,151.00",63621376.0,3811.551758,28.2,9
